School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Saugus - Saugus High,02620505,     688,      18,   2.6,   2.9,   2.3,   2.3,   3.0
Scituate - Scituate High School,02640505,     862,       7,   0.8,   0.5,   1.4,   1.1,   0.4
Seekonk - Seekonk High,02650505,     591,       3,   0.5,   0.6,   1.5,   0.0,   0.0
Sharon - Sharon High,02660505,"   1,139",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,08710605,"   1,317",       4,   0.3,   0.0,   0.3,   0.7,   0.3
Shrewsbury - Shrewsbury High School,02710505,"   1,834",      12,   0.7,   0.4,   0.7,   1.1,   0.4
Silver Lake - Silver Lake Regional High,07600505,"   1,052",       2,   0.2,   0.0,   0.0,   0.4,   0.4
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,04740505,     210,       3,   1.4,   0.0,   0.0,   6.0,   0.0
Somerset Berkley Regional School District - Somerset Berkley Regional High School,07630505,     989,       9,   0.9,   0.4,   0.4,   0.8,   2.0
Somerville - Full Circle High School,02740510,      52,       7,  13.5,   0.0,   7.7,  26.7,  16.7
Somerville - Somerville High,02740505,"   1,294",      30,   2.3,   1.8,   3.4,   2.2,   1.9
South Hadley - South Hadley High,02780505,     545,       4,   0.7,   0.0,   0.8,   1.5,   0.7
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,08290605,     850,      18,   2.1,   0.0,   2.7,   2.5,   3.6
South Shore Charter Public (District) - South Shore Charter Public School,04880550,     334,       3,   0.9,   0.0,   0.0,   1.1,   2.9
South Shore Regional Vocational Technical - So Shore Vocational Technical High,08730605,     655,      10,   1.5,   0.6,   0.6,   1.9,   3.2
Southbridge - Southbridge Academy,02770525,      29,       6,  20.7,  27.3,  22.2,,  14.3
Southbridge - Southbridge High School,02770515,     443,      28,   6.3,   2.7,   9.0,   5.1,  10.7
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,08720605,"   1,550",       9,   0.6,   0.0,   1.0,   0.8,   0.6
Southern Berkshire - Mt Everett Regional,07650505,     180,       1,   0.6,   0.0,   0.0,   0.0,   2.0
Southern Worcester County Regional Vocational School District - Bay Path Regional Vocational Technical High School,08760605,"   1,173",       3,   0.3,   0.3,   0.0,   0.4,   0.4
Southwick-Tolland-Granville Regional School District - Southwick Regional School,07660505,     417,       2,   0.5,   0.0,   0.0,   0.0,   1.7
Spencer-E Brookfield - David Prouty High,07670505,     340,      18,   5.3,   2.9,   2.1,   9.2,   9.4
Springfield - Conservatory of the Arts,02810475,     175,       2,   1.1,   0.0,   0.0,   2.4,   2.7
Springfield - Gateway to College at Holyoke Community College,02810575,      33,       2,   6.1,,,   0.0,   7.1
Springfield - Gateway to College at Springfield Technical Community College,02810580,      27,       0,   0.0,,   0.0,   0.0,   0.0
Springfield - High School Of Commerce,02810510,"   1,282",      78,   6.1,   3.9,  11.7,   5.1,   3.9
Springfield - John J Duggan Middle,02810320,     279,       2,   0.7,   1.3,   0.0,   0.0,   1.8
Springfield - Liberty Preparatory Academy,02810560,       8,,,,,,
Springfield - Roger L. Putnam Vocational Technical Academy,02810620,"   1,384",      16,   1.2,   0.3,   0.6,   0.9,   2.9
Springfield - Springfield Central High,02810500,"   2,082",      24,   1.2,   0.8,   0.4,   0.8,   2.9
Springfield - Springfield High School,02810570,     203,      78,  38.4,  14.3,  31.0,  21.2,  49.1
Springfield - Springfield High School of Science and Technology,02810530,"   1,099",      21,   1.9,   2.4,   2.7,   1.9,   0.4
Springfield - Springfield International Academy at Sci-Tech,02810700,      77,      16,  20.8,  12.1,  33.3,  19.0,  36.4
Springfield - Springfield Public Day High School,02810550,      65,      15,  23.1,  33.3,   6.7,  31.3,  10.0
Springfield - The Springfield Renaissance School an Expeditionary Learning School,02810205,     321,       3,   0.9,   0.0,   2.8,   1.3,   0.0
Springfield - The Springfield Virtual School,02810705,     154,       7,   4.5,   0.0,   8.3,   2.3,   8.7
Springfield International Charter (District) - Springfield International Charter School,04410505,     379,       6,   1.6,   1.0,   3.0,   2.4,   0.0
Stoneham - Stoneham High,02840505,     577,       5,   0.9,   0.7,   0.0,   0.7,   2.2
Stoughton - Stoughton High,02850505,"   1,043",      22,   2.1,   0.6,   2.5,   2.3,   3.6
Sturgis Charter Public (District) - Sturgis Charter Public School,04890505,     846,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Sutton - Sutton High School,02900510,     359,       1,   0.3,   0.0,   0.0,   0.0,   1.1
Swampscott - Swampscott High,02910505,     648,       3,   0.5,   0.0,   0.0,   1.3,   0.5
Swansea - Joseph Case High,02920505,     541,       7,   1.3,   0.7,   0.0,   3.6,   1.6
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,39020900,"   1,392",     213,  15.3,  12.9,  20.4,  15.9,  11.9
Tantasqua - Tantasqua Regional Sr High,07700505,     677,       9,   1.3,   1.2,   0.6,   2.4,   1.2
Tantasqua - Tantasqua Regional Vocational,07700605,     521,       3,   0.6,   0.0,   2.2,   0.0,   0.0
Taunton - Taunton Alternative High School,02930525,      72,       9,  12.5,,,  18.2,  11.7
Taunton - Taunton High,02930505,"   2,049",      55,   2.7,   2.1,   3.6,   3.3,   1.7
Tewksbury - Tewksbury Memorial High,02950505,     798,       6,   0.8,   0.6,   1.0,   0.5,   0.9
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,08780605,     939,       5,   0.5,   0.0,   0.4,   0.9,   0.9
Triton - Triton Regional High School,07730505,     647,      16,   2.5,   1.1,   2.6,   4.9,   0.7
Tyngsborough - Tyngsborough High School,03010505,     425,       3,   0.7,   0.0,   0.0,   0.9,   1.6
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,08790605,     744,       3,   0.4,   0.5,   0.0,   1.2,   0.0
Uxbridge - Gateway to College,03040515,      32,       8,  25.0,,,  37.5,  21.7
Uxbridge - Uxbridge High,03040505,     435,       5,   1.1,   2.5,   0.0,   1.9,   0.0
Wachusett - Wachusett Regional High,07750505,"   1,946",      18,   0.9,   0.4,   0.6,   1.0,   1.7
Wakefield - Wakefield Memorial High,03050505,     846,       6,   0.7,   0.5,   1.6,   1.0,   0.0
Walpole - Walpole High,03070505,"   1,038",       8,   0.8,   0.0,   1.5,   0.4,   1.1
Waltham - Waltham Sr High,03080505,"   1,642",      73,   4.4,   3.6,   3.8,   5.3,   5.2
Ware - Ware Junior/Senior High School,03090505,     293,      19,   6.5,   2.8,   2.9,  12.9,  11.1
Wareham - Wareham Cooperative Alternative School,03100315,      38,      21,  55.3,,,,  47.1
